phrase,id,position,corresponding_text
I sawthat there was a strong likenessbetween the two,357,14952," I sawthat there was a strong likenessbetween the two.
"
“Indeed,358,15007," “Indeed,"
” saidUsher,359,15016,"” saidUsher,"
“we were born on the sameday,360,15028," “we were born on the sameday,"
and the tie between us hasalways been strong,361,15058," and the tie between us hasalways been strong.
"
”We did not long look down at her,362,15105,"”We did not long look down at her,"
for fear and wonder filled ourhearts,363,15139," for fear and wonder filled ourhearts.
"
There was still a little color in her face and there seemed to bea smile on her lips,364,15178," There was still a little color in her face and there seemed to bea smile on her lips.
"
We closed the heavy iron door and returned to therooms above,365,15265," We closed the heavy iron door and returned to therooms above,"
which were hardly less gloomy than the vault,366,15327," which were hardly less gloomy than the vault.
"
And now a change came in the sickness of my friend’s mind,367,15374,"And now a change came in the sickness of my friend’s mind.
"
Hewent from room to room with a hurried step,368,15433," Hewent from room to room with a hurried step.
"
His face was,369,15480," His face was,"
if possible,370,15494," if possible,"
whiter and more ghastly than before,371,15507,"whiter and more ghastly than before,"
and the light in his eyes hadgone,372,15543," and the light in his eyes hadgone.
"
The trembling in his voice seemed to show the greatest fear,373,15579," The trembling in his voice seemed to show the greatest fear.
"
At times he sat looking at nothing for hours,374,15641,"At times he sat looking at nothing for hours,"
as if listening to somesound I could not hear,375,15686," as if listening to somesound I could not hear.
"
I felt his condition,376,15734," I felt his condition,"
slowly but certainly,377,15756," slowly but certainly,"
gain-ing power over me,378,15778, gain-ing power over me;
I felt that his wild ideas were becoming fixed inmy own mind,379,15802," I felt that his wild ideas were becoming fixed inmy own mind.
"
As I was going to bed late in the night of the seventh or eighthday after we placed the lady Madeline within the vault,380,15865,"As I was going to bed late in the night of the seventh or eighthday after we placed the lady Madeline within the vault,"
I experiencedthe full power of such feelings,381,15984," I experiencedthe full power of such feelings.
"
Sleep did not come — while the hourspassed,382,16031," Sleep did not come — while the hourspassed.
"
My mind fought against the nervousness,383,16076," My mind fought against the nervousness.
"
I tried to believethat much,384,16117," I tried to believethat much,"
if not all,385,16146," if not all,"
of what I felt was due to the gloomy room,386,16158," of what I felt was due to the gloomy room,"
to thedark wall coverings,387,16201," to thedark wall coverings,"
which in a rising wind moved on the walls,388,16228," which in a rising wind moved on the walls.
"
Butmy efforts were useless,389,16272," Butmy efforts were useless.
"
A trembling I could not stop filled my body,390,16301," A trembling I could not stop filled my body,"
and fear without reason caught my heart,391,16346,"and fear without reason caught my heart.
"
I sat up,392,16387," I sat up,"
looking into thedarkness of my room,393,16397," looking into thedarkness of my room,"
listening — I do not know why — to certain lowsounds which came when the storm was quiet,394,16434," listening — I do not know why — to certain lowsounds which came when the storm was quiet.
"
A feeling of horror layupon me like a heavy weight,395,16525," A feeling of horror layupon me like a heavy weight.
"
I put on my clothes and began walkingnervously around the room,396,16578," I put on my clothes and began walkingnervously around the room.
"
I had been walking for a very short time when I heard a light stepcoming toward my door,397,16643,"I had been walking for a very short time when I heard a light stepcoming toward my door.
"
I knew it was Usher,398,16732," I knew it was Usher.
"
In a moment I saw himat my door,399,16754," In a moment I saw himat my door,"
as usual very white,400,16787," as usual very white,"
but there was a wild laugh in his eyes,401,16808," but there was a wild laugh in his eyes.
"
Even so,402,16849,"Even so,"
I was glad to have his company,403,16857," I was glad to have his company.
"
“And have you not seen it?”he said,404,16890," “And have you not seen it?”he said.
"
He hurried to one of the windows and opened it to the storm,405,16927," He hurried to one of the windows and opened it to the storm.
"
The force of the entering wind nearly lifted us from our feet,406,16989,"The force of the entering wind nearly lifted us from our feet.
"
Itwas,407,17052," Itwas,"
indeed,408,17059," indeed,"
a stormy but beautiful night,409,17067," a stormy but beautiful night,"
and wildly strange,410,17097," and wildly strange.
"
Theheavy,411,17118," Theheavy,"
low-hanging clouds which seemed to press down upon thehouse,412,17128," low-hanging clouds which seemed to press down upon thehouse,"
flew from all directions against each other,413,17189," flew from all directions against each other,"
always returningand never passing away in the distance,414,17234," always returningand never passing away in the distance.
"
With their great thicknessthey cut off all light from the moon and the stars,415,17291," With their great thicknessthey cut off all light from the moon and the stars.
"
But we could seethem because they were lighted from below by the air itself,416,17370," But we could seethem because they were lighted from below by the air itself,"
which wecould see,417,17447," which wecould see,"
rising from the dark lake and from the stones of the houseitself,418,17466," rising from the dark lake and from the stones of the houseitself.
"
“You must not — you shall not look out at this!” I said to Usher,419,17533,"“You must not — you shall not look out at this!” I said to Usher,"
as I led him from the window to a seat,420,17598,"as I led him from the window to a seat.
"
“This appearance which sur-prises you so has been seen in other places,421,17638," “This appearance which sur-prises you so has been seen in other places,"
too,422,17710," too.
"
Perhaps the lake isthe cause,423,17716," Perhaps the lake isthe cause.
"
Let us close this window,424,17747, Let us close this window;
the air is cold,425,17773," the air is cold.
"
Here is one of thestories you like best,426,17791," Here is one of thestories you like best.
"
I will read and you shall listen and thus we willlive through this fearful night together,427,17833," I will read and you shall listen and thus we willlive through this fearful night together.
"
”The old book which I had picked up was one written by a foolfor fools to read,428,17925,"”The old book which I had picked up was one written by a foolfor fools to read,"
and it was not,429,18004," and it was not,"
in truth,430,18020," in truth,"
one that Usher liked,431,18030," one that Usher liked.
"
It was,432,18053," It was,"
however,433,18061,"however,"
the only one within easy reach,434,18069," the only one within easy reach.
"
He seemed to listen quietly,435,18102," He seemed to listen quietly.
"
Then I came to a part of the story in which a man,436,18132,"Then I came to a part of the story in which a man,"
a strong man fullof wine,437,18182," a strong man fullof wine,"
begins to break down a door,438,18208," begins to break down a door,"
and the sound of the dry woodas it breaks can be heard through all the forest around him,439,18237," and the sound of the dry woodas it breaks can be heard through all the forest around him.
"
Here I stopped,440,18328,"Here I stopped,"
for it seemed to me that from some very distantpart of the house sounds came to my ears like those of which I hadbeen reading,441,18343," for it seemed to me that from some very distantpart of the house sounds came to my ears like those of which I hadbeen reading.
"
It must have been this likeness that had made me noticethem,442,18471," It must have been this likeness that had made me noticethem,"
for the sounds themselves,443,18532," for the sounds themselves,"
with the storm still increasing,444,18559," with the storm still increasing,"
werenothing to stop or interest me,445,18592," werenothing to stop or interest me.
"
I continued the story,446,18629,"I continued the story,"
and read how the man,447,18651," and read how the man,"
now enteringthrough the broken door,448,18673," now enteringthrough the broken door,"
discovers a strange and terrible animal ofthe kind so often found in these old stories,449,18710," discovers a strange and terrible animal ofthe kind so often found in these old stories.
"
He strikes it and it falls,450,18799," He strikes it and it falls,"
with such a cry that he has to close his ears with his hands,451,18827,"with such a cry that he has to close his ears with his hands.
"
Here againI stopped,452,18889," Here againI stopped.
"
There could be no doubt,453,18911,"There could be no doubt.
"
This time I did hear a distant sound,454,18936," This time I did hear a distant sound,"
very much like the cry of the animal in the story,455,18974,"very much like the cry of the animal in the story.
"
I tried to controlmyself so that my friend would see nothing of what I felt,456,19025," I tried to controlmyself so that my friend would see nothing of what I felt.
"
I was notcertain that he had heard the sound,457,19103," I was notcertain that he had heard the sound,"
although he had clearly changedin some way,458,19149," although he had clearly changedin some way.
"
He had slowly moved his chair so that I could not seehim well,459,19194," He had slowly moved his chair so that I could not seehim well.
"
I did see that his lips were moving as if he were speaking tohimself,460,19258," I did see that his lips were moving as if he were speaking tohimself.
"
His head had dropped forward,461,19329," His head had dropped forward,"
but I knew he was not asleep,462,19359," but I knew he was not asleep,"
for his eyes were open and he was moving his body from side to side,463,19389,"for his eyes were open and he was moving his body from side to side.
"
I began reading again,464,19458,"I began reading again,"
and quickly came to a part of the storywhere a heavy piece of iron falls on a stone floor with a ringing sound,465,19480," and quickly came to a part of the storywhere a heavy piece of iron falls on a stone floor with a ringing sound.
"
These words had just passed my lips when I heard clearly,466,19593,"These words had just passed my lips when I heard clearly,"
but from faraway,467,19650," but from faraway,"
a loud ringing sound — as if something of iron had indeed fallenheavily upon a stone floor,468,19668," a loud ringing sound — as if something of iron had indeed fallenheavily upon a stone floor,"
or as if an iron door had closed,469,19760," or as if an iron door had closed.
"
I lost control of myself completely,470,19795,"I lost control of myself completely,"
and jumped up from my chair,471,19831," and jumped up from my chair.
"
Usher still sat,472,19861,"Usher still sat,"
moving a little from side to side,473,19877," moving a little from side to side.
"
His eyes were turnedto the floor,474,19913," His eyes were turnedto the floor.
"
I rushed to his chair,475,19948," I rushed to his chair.
"
As I placed my hand on his shoulder,476,19972," As I placed my hand on his shoulder,"
I felt that his whole body was trembling,477,20009,I felt that his whole body was trembling;
a sickly smile touched hislips,478,20050, a sickly smile touched hislips;
he spoke in a low,479,20082," he spoke in a low,"
quick,480,20101," quick,"
and nervous voice as if he did not knowI was there,481,20108," and nervous voice as if he did not knowI was there.
"
“Yes!” he said,482,20161,"“Yes!” he said.
"
“I heard it! Many minutes,483,20177," “I heard it! Many minutes,"
many hours,484,20204," many hours,"
many dayshave I heard it — but I did not dare to speak! We have put her livingin the vault! Did I not say that my senses were too strong? I heard herfirst movements many days ago — yet I did not dare to speak! Andnow,485,20216," many dayshave I heard it — but I did not dare to speak! We have put her livingin the vault! Did I not say that my senses were too strong? I heard herfirst movements many days ago — yet I did not dare to speak! Andnow,"
that story — but the sounds were hers! Oh,486,20434," that story — but the sounds were hers! Oh,"
where shall I run?!She is coming — coming to ask why I put her there too soon,487,20477," where shall I run?!She is coming — coming to ask why I put her there too soon.
"
I hearher footsteps on the stairs,488,20557," I hearher footsteps on the stairs.
"
I hear the heavy beating of her heart,489,20593," I hear the heavy beating of her heart.
"
”Here he jumped up and cried as if he were giving up his soul: “i Tellyou,490,20633,"”Here he jumped up and cried as if he were giving up his soul: “i Tellyou ,"
she noW sTands aT The dooR!!”The great door to which he was pointing now slowly opened,491,20708," she noW sTands aT The dooR!!”The great door to which he was pointing now slowly opened.
"
Itwas the work of the rushing wind,492,20797," Itwas the work of the rushing wind,"
perhaps — but no — outside thatdoor a shape did stand,493,20833," perhaps — but no — outside thatdoor a shape did stand,"
the tall figure,494,20888," the tall figure,"
in its grave-clothes,495,20905," in its grave-clothes,"
of the ladyMadeline of Usher,496,20927," of the ladyMadeline of Usher.
"
There was blood upon her white dress,497,20958," There was blood upon her white dress,"
and thesigns of her terrible efforts to escape were upon every part of her thinform,498,20996," and thesigns of her terrible efforts to escape were upon every part of her thinform.
"
For a moment she remained trembling at the door,499,21082, For a moment she remained trembling at the door;
then,500,21131," then,"
with alow cry,501,21137," with alow cry,"
she fell heavily in upon her brother,502,21152, she fell heavily in upon her brother;
in her pain,503,21190," in her pain,"
as she diedat last,504,21203," as she diedat last,"
she carried him down with her,505,21223," she carried him down with her,"
down to the floor,506,21254," down to the floor.
"
He too wasdead,507,21274," He too wasdead,"
killed by his own fear,508,21290," killed by his own fear.
"
I rushed from the room,509,21315,I rushed from the room;
I rushed from the house,510,21338," I rushed from the house.
"
I ran,511,21364," I ran.
"
The stormwas around me in all its strength as I crossed the bridge,512,21372," The stormwas around me in all its strength as I crossed the bridge.
"
Suddenlya wild light moved along the ground at my feet,513,21441," Suddenlya wild light moved along the ground at my feet,"
and I turned to seewhere it could have come from,514,21497," and I turned to seewhere it could have come from,"
for only the great house and its dark-ness were behind me,515,21547," for only the great house and its dark-ness were behind me.
"
The light was that of the full moon,516,21607," The light was that of the full moon,"
of a blood-red moon,517,21644," of a blood-red moon,"
which was now shining through that break in the frontwall,518,21665," which was now shining through that break in the frontwall,"
that crack which I thought I had seen when I first saw the palace,519,21724," that crack which I thought I had seen when I first saw the palace.
"
Then only a little crack,520,21792,"Then only a little crack,"
it now widened as I watched,521,21817," it now widened as I watched.
"
A strong windcame rushing over me — the whole face of the moon appeared,522,21847," A strong windcame rushing over me — the whole face of the moon appeared.
"
I sawthe great walls falling apart,523,21921," I sawthe great walls falling apart.
"
There was a long and stormy shoutingsound — and the deep black lake closed darkly over all that remainedof the house of usheR,524,21958," There was a long and stormy shoutingsound — and the deep black lake closed darkly over all that remainedof the house of usheR.
"
