phrase,id,position,corresponding_text
car brusquement le petit prince m'interrogea,344,13193," car brusquement le petit prince m'interrogea,"
comme pris d'un doute grave :,345,13239," comme pris d'un doute grave :

"
- C'est bien vrai,346,13271,"- C'est bien vrai,"
n'est-ce pas,347,13289," n'est-ce pas,"
que les moutons mangent les arbustes ?,348,13303," que les moutons mangent les arbustes ?

"
- Oui,349,13344,- Oui.
C'est vrai,350,13350," C'est vrai.

"
- Ah ! Je suis content,351,13364,"- Ah ! Je suis content.

"
Je ne compris pas pourquoi il était si important que les moutons mangeassent les arbustes,352,13389,Je ne compris pas pourquoi il était si important que les moutons mangeassent les arbustes.
Mais le petit prince ajouta :,353,13479," Mais le petit prince ajouta :

"
- Par conséquent ils mangent aussi les baobabs ?,354,13511,"- Par conséquent ils mangent aussi les baobabs ?

"
Je fis remarquer au petit prince que les baobabs ne sont pas des arbustes,355,13561,"Je fis remarquer au petit prince que les baobabs ne sont pas des arbustes,"
mais des arbres grands comme des églises et que,356,13635," mais des arbres grands comme des églises et que,"
si même il emportait avec lui tout un troupeau d'éléphants,357,13684," si même il emportait avec lui tout un troupeau d'éléphants,"
ce troupeau ne viendrait pas à bout d'un seul baobab,358,13744," ce troupeau ne viendrait pas à bout d'un seul baobab.

"
L'idée du troupeau d'éléphants fit rire le petit prince,359,13800,"L'idée du troupeau d'éléphants fit rire le petit prince

"
- Il faudrait les mettre les uns sur les autres...,360,13857,"- Il faudrait les mettre les uns sur les autres...

"
Mais il remarqua avec sagesse :,361,13909,"Mais il remarqua avec sagesse :

"
- Les baobabs,362,13942,"- Les baobabs,"
avant de grandir,363,13956," avant de grandir,"
ça commence par être petit,364,13974," ça commence par être petit.

"
- C'est exact ! Mais pourquoi veux-tu que tes moutons mangent les petits baobabs ?,365,14004,"- C'est exact ! Mais pourquoi veux-tu que tes moutons mangent les petits baobabs ?

"
Il me répondit:´Ben! Voyons!´Comme s'il s'agissait là d'une évidence,366,14088,"Il me répondit:""Ben! Voyons!""Comme s'il s'agissait là d'une évidence."
Et il me fallut un grand effort d'intelligence pour comprendre à moi seul ce problème,367,14157," Et il me fallut un grand effort d'intelligence pour comprendre à moi seul ce problème.

"
Et en effet,368,14246,"Et en effet,"
sur la planète du petit prince,369,14258," sur la planète du petit prince,"
il y avait comme sur toutes les planètes,370,14290," il y avait comme sur toutes les planètes,"
de bonnes herbes et de mauvaises herbes,371,14332, de bonnes herbes et de mauvaises herbes.
Par conséquent de bonnes graines de bonnes herbes et de mauvaises graines de mauvaises herbes,372,14373, Par conséquent de bonnes graines de bonnes herbes et de mauvaises graines de mauvaises herbes.
Mais les graines sont invisibles,373,14468, Mais les graines sont invisibles.
Elles dorment dans le secret de la terre jusqu'à ce qu'il prenne fantaisie à l'une d'elles de se réveiller... Alors elle s'étire,374,14502," Elles dorment dans le secret de la terre jusqu'à ce qu'il prenne fantaisie à l'une d'elles de se réveiller... Alors elle s'étire,"
et pousse d'abord timidement vers le soleil une ravissante petite brindille inoffensive,375,14632, et pousse d'abord timidement vers le soleil une ravissante petite brindille inoffensive.
S'il s'agit d'une brindille de radis ou de rosier,376,14721," S'il s'agit d'une brindille de radis ou de rosier,"
on peut la laisser pousser comme elle veut,377,14772, on peut la laisser pousser comme elle veut.
Mais s'il s'agit d'une mauvaise plante,378,14816," Mais s'il s'agit d'une mauvaise plante,"
il faut arracher la plante aussitôt,379,14856," il faut arracher la plante aussitôt,"
dès qu'on a su la reconnaître,380,14893, dès qu'on a su la reconnaître.
Or il y avait des graines terribles sur la planète du petit prince... c'étaient les graines de baobabs,381,14924, Or il y avait des graines terribles sur la planète du petit prince... c'étaient les graines de baobabs.
Le sol de la planète en était infesté,382,15028, Le sol de la planète en était infesté.
Or un baobab,383,15067," Or un baobab,"
si l'on s'y prend trop tard,384,15081," si l'on s'y prend trop tard,"
on ne peut jamais plus s'en débarrasser,385,15110, on ne peut jamais plus s'en débarrasser.
Il encombre toute la planète,386,15151, Il encombre toute la planète.
Il la perfore de ses racines,387,15181, Il la perfore de ses racines.
Et si la planète est trop petite,388,15211," Et si la planète est trop petite,"
et si les baobabs sont trop nombreux,389,15245," et si les baobabs sont trop nombreux,"
ils la font éclater,390,15283," ils la font éclater.

"
´C'est une question de discipline,391,15306,"""C'est une question de discipline,"
me disait plus tard le petit prince,392,15340, me disait plus tard le petit prince.
Quand on a terminé sa toilette du matin,393,15377," Quand on a terminé sa toilette du matin,"
il faut faire soigneusement la toilette de la planète,394,15418, il faut faire soigneusement la toilette de la planète.
Il faut s'astreindre régulièrement à arracher les baobabs dès qu'on les distingue d'avec les rosiers auxquels ils ressemblent beaucoup quand ils sont très jeunes,395,15473, Il faut s'astreindre régulièrement à arracher les baobabs dès qu'on les distingue d'avec les rosiers auxquels ils ressemblent beaucoup quand ils sont très jeunes.
C'est un travail très ennuyeux,396,15636," C'est un travail très ennuyeux,"
mais très facile,397,15668," mais très facile.""

"
